Package Identifier,Force Delete,Description
com.samsung.android.arzone,false,AR Zone App
com.facebook.system,false,Facebook App Installer
com.facebook.appmanager,false,Facebook App Manager
com.facebook.services,false,Facebook Services
com.samsung.android.app.tips,false,Tips app
