Package Identifier,Force Delete,Description
com.lguplus.mobile.cs,false,LG U+ customer service app
com.lguplus.tsmproxy,false,LG U+ USIM app
com.cnas.service,false,LG U+ Storage app
com.cnas.main,false,LG U+ Storage Settings app
com.cnas.terms,false,LG U+ Storage ToC app
com.uplus.oemsearch,false,LG U+ number directory app
com.facebook.system,false,Facebook bloat
com.facebook.appmanager,false,Facebook bloat
